path,file_id,sequence_id,participant_id,phrase
train_landmarks/377501.parquet,377501,147,71348,dog language over
train_landmarks/528361.parquet,528361,148,91070,221b baker street
train_landmarks/592738.parquet,592738,149,57052,800-555-0199
train_landmarks/402099.parquet,402099,150,16175,brown dog hello accuracy recognition
train_landmarks/942956.parquet,942956,151,46421,fox dog jumps hello jumps
train_landmarks/162535.parquet,162535,152,71348,+1-555-987-6543
train_landmarks/723948.parquet,723948,153,24592,university science project welcome fingerspelling hello
train_landmarks/666211.parquet,666211,154,42953,742 evergreen terrace
train_landmarks/727086.parquet,727086,155,39256,https://youtube.com/watch
train_landmarks/870214.parquet,870214,156,30033,1600 pennsylvania ave
train_landmarks/127121.parquet,127121,157,44993,https://www.google.com
train_landmarks/901909.parquet,901909,158,25014,recognition evaluation over sign
train_landmarks/563711.parquet,563711,159,87397,engineering science accuracy
train_landmarks/195674.parquet,195674,160,89840,456 elm st suite 200
train_landmarks/449499.parquet,449499,161,42953,742 evergreen terrace
train_landmarks/999398.parquet,999398,162,37460,(212) 555-4321
train_landmarks/827369.parquet,827369,163,99733,10 downing street london
train_landmarks/519904.parquet,519904,164,18675,quick brown hello fox evaluation frequency
train_landmarks/964998.parquet,964998,165,69429,project quick sign computer american science
train_landmarks/154118.parquet,154118,166,99733,1-888-456-7890
train_landmarks/237377.parquet,237377,167,70589,analysis project the computer accuracy
train_landmarks/844261.parquet,844261,168,30969,1-888-456-7890
train_landmarks/114338.parquet,114338,169,39256,dog model
train_landmarks/218972.parquet,218972,170,22676,742 evergreen terrace
train_landmarks/779172.parquet,779172,171,60019,university world learning fingerspelling project
train_landmarks/595158.parquet,595158,172,30033,1-888-456-7890
train_landmarks/251668.parquet,251668,173,69429,221b baker street
train_landmarks/632929.parquet,632929,174,38785,frequency world accuracy
train_landmarks/535098.parquet,535098,175,22676,221b baker street
train_landmarks/380150.parquet,380150,176,46463,learning model recognition vision
train_landmarks/255813.parquet,255813,177,69429,456 elm st suite 200
train_landmarks/461888.parquet,461888,178,82357,221b baker street
train_landmarks/495533.parquet,495533,179,70589,1600 pennsylvania ave
train_landmarks/297816.parquet,297816,180,87397,language dog evaluation
train_landmarks/145767.parquet,145767,181,82512,456 elm st suite 200
train_landmarks/839485.parquet,839485,182,99166,asl vision model engineering american
train_landmarks/138817.parquet,138817,183,37653,www.amazon.com/deals
train_landmarks/205239.parquet,205239,184,94939,fox university the jumps frequency
train_landmarks/261859.parquet,261859,185,44671,http://weather.com/today
train_landmarks/455007.parquet,455007,186,62350,vision frequency frequency frequency asl
train_landmarks/432043.parquet,432043,187,45093,frequency quick brown computer university
train_landmarks/338536.parquet,338536,188,64987,engineering evaluation learning fox over
train_landmarks/414012.parquet,414012,189,99192,welcome quick
train_landmarks/475876.parquet,475876,190,57447,123 main street apt 4b
train_landmarks/356059.parquet,356059,191,60019,deep over over computer asl deep
train_landmarks/621841.parquet,621841,192,95909,dog vision project
train_landmarks/799233.parquet,799233,193,83000,www.nytimes.com/world
train_landmarks/401603.parquet,401603,194,47930,brown guatemala engineering
train_landmarks/413685.parquet,413685,195,18326,deep project world engineering frequency
train_landmarks/211834.parquet,211834,196,16175,1-888-456-7890
train_landmarks/476395.parquet,476395,197,39256,the model fingerspelling the
train_landmarks/819112.parquet,819112,198,42098,university dataset
train_landmarks/973294.parquet,973294,199,91070,evaluation dog accuracy dog
train_landmarks/299367.parquet,299367,200,62350,computer analysis vision
train_landmarks/423939.parquet,423939,201,99166,recognition dataset
train_landmarks/194511.parquet,194511,202,81426,dataset over jumps sign
train_landmarks/483629.parquet,483629,203,45382,model hello model project
train_landmarks/945664.parquet,945664,204,91070,+1-800-222-3344
train_landmarks/455168.parquet,455168,205,42953,guatemala jumps guatemala frequency learning
train_landmarks/516716.parquet,516716,206,76784,asl accuracy the sign project deep
train_landmarks/805000.parquet,805000,207,76784,(212) 555-4321
train_landmarks/962367.parquet,962367,208,69429,fox dog the analysis
train_landmarks/688678.parquet,688678,209,39871,221b baker street
train_landmarks/332120.parquet,332120,210,22676,university world fingerspelling jumps guatemala
train_landmarks/419149.parquet,419149,211,23434,fox analysis
train_landmarks/242254.parquet,242254,212,21915,1600 pennsylvania ave
train_landmarks/803055.parquet,803055,213,62350,fingerspelling dataset over fingerspelling fox american
train_landmarks/527940.parquet,527940,214,25014,quick asl science guatemala
train_landmarks/997004.parquet,997004,215,25014,10 downing street london
train_landmarks/485178.parquet,485178,216,89840,quick world guatemala guatemala
train_landmarks/964226.parquet,964226,217,28301,10 downing street london
train_landmarks/322409.parquet,322409,218,60432,engineering quick to engineering evaluation lazy
train_landmarks/970127.parquet,970127,219,74686,recognition accuracy dog
train_landmarks/911984.parquet,911984,220,54118,https://www.google.com
train_landmarks/390743.parquet,390743,221,46434,engineering sign accuracy
train_landmarks/215266.parquet,215266,222,13478,jumps to
train_landmarks/926730.parquet,926730,223,60019,+1-555-987-6543
train_landmarks/116547.parquet,116547,224,93886,(555) 234-5678
train_landmarks/232915.parquet,232915,225,46421,fox brown science to recognition science
train_landmarks/332311.parquet,332311,226,62581,learning analysis
train_landmarks/790909.parquet,790909,227,83000,vision quick engineering model science
train_landmarks/213206.parquet,213206,228,48427,456 elm st suite 200
train_landmarks/177060.parquet,177060,229,38657,computer brown world computer
train_landmarks/674993.parquet,674993,230,62581,engineering sign science recognition fox
train_landmarks/835869.parquet,835869,231,56566,https://apple.com/ios
train_landmarks/855855.parquet,855855,232,28301,science dog to science fingerspelling
train_landmarks/199704.parquet,199704,233,56566,1600 pennsylvania ave
train_landmarks/797416.parquet,797416,234,74686,800-555-0199
train_landmarks/820184.parquet,820184,235,89840,fox brown
train_landmarks/552855.parquet,552855,236,32431,www.amazon.com/deals
train_landmarks/951201.parquet,951201,237,24371,https://www.google.com
train_landmarks/714953.parquet,714953,238,19116,welcome jumps to vision dataset frequency
train_landmarks/856086.parquet,856086,239,13478,http://weather.com/today
train_landmarks/729575.parquet,729575,240,42098,742 evergreen terrace
train_landmarks/705991.parquet,705991,241,70142,vision dog fox
train_landmarks/986438.parquet,986438,242,38785,evaluation language
train_landmarks/946432.parquet,946432,243,84341,221b baker street
train_landmarks/904711.parquet,904711,244,54597,deep language computer vision deep the
train_landmarks/386544.parquet,386544,245,13478,university to over jumps
train_landmarks/789275.parquet,789275,246,13278,123 main street apt 4b
train_landmarks/876962.parquet,876962,247,82357,fox sign
train_landmarks/494468.parquet,494468,248,59735,1600 pennsylvania ave
train_landmarks/265055.parquet,265055,249,35203,10 downing street london
train_landmarks/440140.parquet,440140,250,23238,recognition analysis over dataset quick brown
train_landmarks/564637.parquet,564637,251,99192,computer fingerspelling dog american to
train_landmarks/216276.parquet,216276,252,82357,(415) 555-8833
train_landmarks/721946.parquet,721946,253,56566,10 downing street london
train_landmarks/423401.parquet,423401,254,42325,https://youtube.com/watch
train_landmarks/728437.parquet,728437,255,35203,https://github.com/kaggle
train_landmarks/416061.parquet,416061,256,38785,evaluation world fox
train_landmarks/621546.parquet,621546,257,21915,jumps sign dog
train_landmarks/685864.parquet,685864,258,60019,brown frequency quick the
train_landmarks/181644.parquet,181644,259,95181,science fingerspelling vision world fingerspelling guatemala
train_landmarks/280222.parquet,280222,260,88172,project deep to science fox science
train_landmarks/519902.parquet,519902,261,31319,frequency dataset dog evaluation brown
train_landmarks/763984.parquet,763984,262,59797,https://apple.com/ios
train_landmarks/303322.parquet,303322,263,69429,to guatemala vision jumps
train_landmarks/207798.parquet,207798,264,11504,https://github.com/kaggle
train_landmarks/281926.parquet,281926,265,31319,over evaluation
train_landmarks/618119.parquet,618119,266,80284,221b baker street
train_landmarks/896788.parquet,896788,267,52504,vision engineering welcome engineering welcome science
train_landmarks/591699.parquet,591699,268,38221,1600 pennsylvania ave
train_landmarks/935012.parquet,935012,269,87397,(555) 234-5678
train_landmarks/469038.parquet,469038,270,13478,project quick asl world
train_landmarks/775981.parquet,775981,271,88907,computer american
train_landmarks/585188.parquet,585188,272,81426,science accuracy
train_landmarks/783501.parquet,783501,273,83563,1-888-456-7890
train_landmarks/598733.parquet,598733,274,40021,science accuracy
train_landmarks/978053.parquet,978053,275,46463,10 downing street london
train_landmarks/188425.parquet,188425,276,82357,quick learning engineering
train_landmarks/649525.parquet,649525,277,92240,asl university asl
train_landmarks/912085.parquet,912085,278,93320,221b baker street
train_landmarks/154909.parquet,154909,279,51347,brown fox deep world
train_landmarks/858889.parquet,858889,280,68878,frequency to recognition jumps to guatemala
train_landmarks/832409.parquet,832409,281,46463,recognition university welcome
train_landmarks/494976.parquet,494976,282,39256,accuracy deep model dataset
train_landmarks/818709.parquet,818709,283,38893,vision fingerspelling
train_landmarks/479404.parquet,479404,284,22676,http://weather.com/today
train_landmarks/289019.parquet,289019,285,87236,guatemala american dog jumps
train_landmarks/180913.parquet,180913,286,65302,+1-800-222-3344
train_landmarks/206053.parquet,206053,287,76237,model analysis quick to evaluation jumps
train_landmarks/495019.parquet,495019,288,69429,800-555-0199
train_landmarks/971728.parquet,971728,289,65392,accuracy over science fingerspelling deep dog
train_landmarks/565776.parquet,565776,290,92397,dog dog guatemala evaluation analysis
train_landmarks/303440.parquet,303440,291,58520,221b baker street
train_landmarks/561999.parquet,561999,292,18675,1600 pennsylvania ave
train_landmarks/915922.parquet,915922,293,42098,221b baker street
train_landmarks/538997.parquet,538997,294,86622,accuracy jumps hello
train_landmarks/772324.parquet,772324,295,99733,1600 pennsylvania ave
train_landmarks/681478.parquet,681478,296,65302,frequency world evaluation world analysis jumps
train_landmarks/558723.parquet,558723,297,16175,https://github.com/kaggle
train_landmarks/956375.parquet,956375,298,99192,1600 pennsylvania ave
train_landmarks/127965.parquet,127965,299,23434,456 elm st suite 200
train_landmarks/626392.parquet,626392,300,22676,456 elm st suite 200
train_landmarks/185569.parquet,185569,301,66155,742 evergreen terrace
train_landmarks/434165.parquet,434165,302,61856,accuracy jumps world model
train_landmarks/829884.parquet,829884,303,46463,science the brown hello model
train_landmarks/675462.parquet,675462,304,54597,sign fox world world quick fingerspelling
train_landmarks/932463.parquet,932463,305,91070,fox analysis
train_landmarks/725726.parquet,725726,306,57819,language learning world the to language
train_landmarks/296412.parquet,296412,307,83000,sign to
train_landmarks/651613.parquet,651613,308,92397,language asl project computer engineering hello
train_landmarks/117031.parquet,117031,309,69429,742 evergreen terrace
train_landmarks/461551.parquet,461551,310,61856,(415) 555-8833
train_landmarks/758775.parquet,758775,311,42098,www.amazon.com/deals
train_landmarks/239890.parquet,239890,312,22156,https://apple.com/ios
train_landmarks/454992.parquet,454992,313,37869,model deep engineering
train_landmarks/601776.parquet,601776,314,92240,brown evaluation project
train_landmarks/407696.parquet,407696,315,56566,+1-800-222-3344
train_landmarks/309159.parquet,309159,316,99593,university sign engineering sign
train_landmarks/365618.parquet,365618,317,22280,https://github.com/kaggle
train_landmarks/400009.parquet,400009,318,46434,742 evergreen terrace
train_landmarks/787584.parquet,787584,319,94939,742 evergreen terrace
train_landmarks/938171.parquet,938171,320,38221,456 elm st suite 200
train_landmarks/879414.parquet,879414,321,22676,456 elm st suite 200
train_landmarks/455505.parquet,455505,322,91070,deep asl accuracy hello brown
train_landmarks/545120.parquet,545120,323,46048,www.cdc.gov/covid
train_landmarks/671971.parquet,671971,324,70217,(555) 234-5678
train_landmarks/183958.parquet,183958,325,54597,1600 pennsylvania ave
train_landmarks/421384.parquet,421384,326,80284,10 downing street london
train_landmarks/546815.parquet,546815,327,40495,(212) 555-4321
train_landmarks/468623.parquet,468623,328,30033,10 downing street london
train_landmarks/469685.parquet,469685,329,45382,world engineering guatemala brown vision
train_landmarks/480959.parquet,480959,330,62581,guatemala jumps computer
train_landmarks/919264.parquet,919264,331,83579,123 main street apt 4b
train_landmarks/170499.parquet,170499,332,58520,(415) 555-8833
train_landmarks/484123.parquet,484123,333,65302,221b baker street
train_landmarks/133958.parquet,133958,334,94939,guatemala asl evaluation language sign
train_landmarks/517368.parquet,517368,335,59735,1600 pennsylvania ave
train_landmarks/361736.parquet,361736,336,61856,dataset american
train_landmarks/505785.parquet,505785,337,40512,hello hello
train_landmarks/567951.parquet,567951,338,88907,1-888-456-7890
train_landmarks/399449.parquet,399449,339,57052,lazy jumps brown over learning
train_landmarks/192055.parquet,192055,340,48427,deep learning language world
train_landmarks/414527.parquet,414527,341,40021,accuracy american jumps
train_landmarks/310743.parquet,310743,342,80010,accuracy the language
train_landmarks/486831.parquet,486831,343,82357,221b baker street
train_landmarks/236074.parquet,236074,344,99166,brown fingerspelling
train_landmarks/851759.parquet,851759,345,93886,fingerspelling fingerspelling language jumps welcome brown
train_landmarks/588461.parquet,588461,346,30379,jumps model language recognition
train_landmarks/905077.parquet,905077,347,13905,american frequency model sign welcome
train_landmarks/269834.parquet,269834,348,81426,10 downing street london
train_landmarks/336422.parquet,336422,349,54118,221b baker street
train_landmarks/397846.parquet,397846,350,64987,lazy guatemala world computer
train_landmarks/744274.parquet,744274,351,46463,vision recognition recognition over computer analysis
train_landmarks/454019.parquet,454019,352,57052,quick frequency brown guatemala evaluation hello
train_landmarks/321048.parquet,321048,353,68878,computer the analysis language vision
train_landmarks/416768.parquet,416768,354,92240,10 downing street london
train_landmarks/525818.parquet,525818,355,87397,(555) 234-5678
train_landmarks/822063.parquet,822063,356,97841,www.nytimes.com/world
train_landmarks/535810.parquet,535810,357,96673,123 main street apt 4b
train_landmarks/456717.parquet,456717,358,99166,frequency welcome engineering to
train_landmarks/518084.parquet,518084,359,38657,www.amazon.com/deals
train_landmarks/639995.parquet,639995,360,19116,dog jumps science jumps
train_landmarks/153063.parquet,153063,361,42953,(212) 555-4321
train_landmarks/745270.parquet,745270,362,16175,123 main street apt 4b
train_landmarks/952993.parquet,952993,363,57447,221b baker street
train_landmarks/856157.parquet,856157,364,59797,123 main street apt 4b
train_landmarks/622469.parquet,622469,365,38893,american welcome the guatemala american
train_landmarks/352422.parquet,352422,366,51347,+1-555-987-6543
train_landmarks/151021.parquet,151021,367,88172,www.nytimes.com/world
train_landmarks/726543.parquet,726543,368,89840,world the fox jumps hello
train_landmarks/483545.parquet,483545,369,80010,quick quick language to
train_landmarks/402620.parquet,402620,370,22676,https://apple.com/ios
train_landmarks/572230.parquet,572230,371,28301,model computer computer jumps
train_landmarks/201377.parquet,201377,372,46463,1600 pennsylvania ave
train_landmarks/684929.parquet,684929,373,70217,lazy american american
train_landmarks/147504.parquet,147504,374,20458,www.amazon.com/deals
train_landmarks/943019.parquet,943019,375,58520,456 elm st suite 200
train_landmarks/256175.parquet,256175,376,38221,jumps university welcome asl computer model
train_landmarks/722565.parquet,722565,377,40495,221b baker street
train_landmarks/658198.parquet,658198,378,93886,221b baker street
train_landmarks/414353.parquet,414353,379,57052,742 evergreen terrace
train_landmarks/486251.parquet,486251,380,70589,742 evergreen terrace
train_landmarks/536774.parquet,536774,381,81426,recognition hello
train_landmarks/787436.parquet,787436,382,57819,recognition learning recognition over computer computer
train_landmarks/982027.parquet,982027,383,94939,10 downing street london
train_landmarks/353961.parquet,353961,384,28289,http://wikipedia.org/asl
train_landmarks/300051.parquet,300051,385,26361,www.amazon.com/deals
train_landmarks/539122.parquet,539122,386,13478,(415) 555-8833
train_landmarks/313795.parquet,313795,387,98696,221b baker street
train_landmarks/594514.parquet,594514,388,25014,learning sign
train_landmarks/688132.parquet,688132,389,70217,10 downing street london
train_landmarks/601608.parquet,601608,390,62350,guatemala project sign language
train_landmarks/808699.parquet,808699,391,22156,computer lazy hello language
train_landmarks/335790.parquet,335790,392,45093,evaluation learning deep american
train_landmarks/603110.parquet,603110,393,28726,10 downing street london
train_landmarks/386741.parquet,386741,394,45382,1-888-456-7890
train_landmarks/809489.parquet,809489,395,69429,model guatemala accuracy world world
train_landmarks/848831.parquet,848831,396,39871,www.nytimes.com/world
train_landmarks/787836.parquet,787836,397,82357,(212) 555-4321
train_landmarks/324381.parquet,324381,398,88172,1-888-456-7890
train_landmarks/384303.parquet,384303,399,28131,jumps computer recognition hello
train_landmarks/802371.parquet,802371,400,79352,vision quick fingerspelling
train_landmarks/852204.parquet,852204,401,76237,10 downing street london
train_landmarks/908206.parquet,908206,402,75435,https://apple.com/ios
train_landmarks/265613.parquet,265613,403,18326,456 elm st suite 200
train_landmarks/600641.parquet,600641,404,87236,welcome vision analysis brown
train_landmarks/702022.parquet,702022,405,98696,(415) 555-8833
train_landmarks/858243.parquet,858243,406,61856,university over
train_landmarks/978292.parquet,978292,407,80010,(555) 234-5678
train_landmarks/976822.parquet,976822,408,76784,456 elm st suite 200
train_landmarks/295361.parquet,295361,409,83563,frequency the language fox
train_landmarks/451317.parquet,451317,410,80644,(415) 555-8833
train_landmarks/669691.parquet,669691,411,30926,frequency project lazy
train_landmarks/218118.parquet,218118,412,64987,10 downing street london
train_landmarks/581206.parquet,581206,413,64987,the to world
train_landmarks/807160.parquet,807160,414,62350,computer vision fingerspelling
train_landmarks/548479.parquet,548479,415,14207,fingerspelling fox
train_landmarks/247442.parquet,247442,416,37460,123 main street apt 4b
train_landmarks/107161.parquet,107161,417,48427,800-555-0199
train_landmarks/568436.parquet,568436,418,24371,world learning the vision
train_landmarks/826420.parquet,826420,419,35203,(415) 555-8833
train_landmarks/223967.parquet,223967,420,57447,123 main street apt 4b
train_landmarks/525110.parquet,525110,421,59823,deep vision guatemala asl
train_landmarks/331577.parquet,331577,422,91070,800-555-0199
train_landmarks/601410.parquet,601410,423,69429,(415) 555-8833
train_landmarks/735163.parquet,735163,424,44671,10 downing street london
train_landmarks/675914.parquet,675914,425,61856,accuracy model evaluation deep recognition evaluation
train_landmarks/651033.parquet,651033,426,58520,10 downing street london
train_landmarks/479358.parquet,479358,427,30379,http://wikipedia.org/asl
train_landmarks/164758.parquet,164758,428,30969,lazy sign over frequency science deep
train_landmarks/851742.parquet,851742,429,57400,analysis science
train_landmarks/158338.parquet,158338,430,89840,221b baker street
train_landmarks/535604.parquet,535604,431,99192,742 evergreen terrace
train_landmarks/685941.parquet,685941,432,99733,1600 pennsylvania ave
train_landmarks/858414.parquet,858414,433,40495,http://weather.com/today
train_landmarks/956113.parquet,956113,434,18326,https://github.com/kaggle
train_landmarks/706403.parquet,706403,435,99733,https://youtube.com/watch
train_landmarks/461264.parquet,461264,436,26361,engineering university brown university quick fingerspelling
train_landmarks/906325.parquet,906325,437,83563,https://youtube.com/watch
train_landmarks/492650.parquet,492650,438,80644,science university asl brown guatemala
train_landmarks/665497.parquet,665497,439,38785,www.amazon.com/deals
train_landmarks/224395.parquet,224395,440,94939,1-888-456-7890
